# Series;Series description (EN);Metric;Unit of Measure;Reference date;Value;State
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2008-03-31;18894.7;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2008-06-30;21309.4;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2008-09-30;20262.3;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2008-12-31;23382.5;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2009-03-31;18961.2;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2009-06-30;21233.2;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2009-09-30;20033.7;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2009-12-31;23486.6;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2010-03-31;19174.5;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2010-06-30;21813.1;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2010-09-30;20399.0;
12518367;Compensation of employees-Quarterly-Current prices-M€;Value;Millions of euros;2010-12-31;23463.0;
